Basel Temperature,Basel Relative Humidity,Basel Wind Speed
10.600529,86,7.2359104
9.940529,86,5.6233797
9.470529,84,6.379216
8.850529,84,7.5685663
8.460529,85,6.130579
9.220529,84,4.6800003
9.660529,84,4.198285
9.860529,84,4.0249224
10.100529,83,4.0249224
10.3005295,83,3.7064266
10.390529,83,2.7416782
10.470529,84,2.5455842
11.230529,81,4.379589
12.510529,73,5.6920996
13.610529,67,7.2
14.700529,63,10.239453
15.340529,59,13.797913
15.470529,64,9.360001
15.520529,62,9.504273
16.260529,59,9.659814
16.360529,58,9.983106
16.12053,57,10.587917
14.830529,61,9.422101
13.690529,67,8.4042845
12.810529,70,8.217153
11.880529,73,9.504272
11.040529,76,8.209263
10.040529,78,7.968939
9.190529,80,7.9932976
9.240529,78,6.849467
8.850529,81,6.87779
8.360529,82,7.208994
7.8305287,81,7.92
7.790529,80,6.924738
8.360529,81,5.815978
8.860529,81,5.634891
9.700529,80,3.319036
11.380529,78,2.9024127
14.560529,69,5.2416787
15.990529,68,11.183201
16.97053,63,18.36353
18.420528,53,13.397612
18.990528,52,14.561099
19.250528,51,14.332341
19.170528,51,12.9249525
18.830528,54,11.440978
17.72053,59,9.0645685
16.21053,64,7.342588
15.560529,65,6.8777895
14.440529,69,8.217153
12.630529,75,9.107359
12.040529,75,7.69592
12.230529,73,5.3999996
12.280529,72,3.319036
12.030529,73,4.6938257
10.790529,74,7.24486
10.340529,75,7.172949
10.220529,74,7.5942073
10.270529,73,7.5599995
10.200529,75,7.928178
11.690529,73,5.315336
14.380529,70,3.6
16.57053,65,2.3051248
18.06053,61,2.1897945
19.490528,56,3.396233
18.940529,56,0.35999998
19.70053,55,1.0182338
20.20053,54,2.0991426
20.580528,54,1.9386592
20.37053,56,2.52
19.250528,61,7.24486
17.430529,70,8.913181
16.72053,72,7.9932966
16.510529,69,8.287822
15.940529,57,8.699793
14.530529,57,8.4963045
14.100529,59,5.6002855
13.130529,64,4.829907
12.470529,69,6.725354
11.360529,75,7.5685663
11.760529,72,7.10031
12.160529,70,3.319036
13.160529,66,5.3999996
13.120529,83,12.245294
14.010529,81,17.518356
15.8005295,75,21.24
16.82053,70,19.45333
18.12053,65,20.188908
18.990528,61,21.841648
19.79053,56,20.06334
20.010529,56,19.829433
19.98053,57,18.388212
19.760529,59,15.459054
19.260529,61,11.183201
18.05053,66,7.127636
17.14053,71,2.4149535
16.430529,73,3.2399998
15.740529,74,6.489992
14.250529,76,7.6367526
13.560529,79,6.28713
13.730529,80,5.3517847
13.120529,87,5.937272
12.170529,92,6.9899354
11.380529,93,6.924738
10.850529,94,6.87779
10.690529,93,6.830519
10.730529,93,6.830519
10.520529,94,7.628263
11.110529,90,8.225035
13.490529,81,11.165805
15.930529,71,10.829959
18.180529,64,10.182337
19.770529,57,7.5599995
20.330528,57,3.0758414
21.090528,54,2.9024127
21.440529,52,2.7416782
21.440529,52,3.5455887
20.97053,54,3.6179552
20.250528,55,3.671294
19.610529,58,3.319036
19.04053,60,2.6208394
18.14053,65,3.8268526
17.14053,70,4.1046314
16.270529,75,4.3349743
15.720529,77,4.3349743
15.260529,80,4.829907
14.510529,84,5.315336
13.840529,87,5.634891
13.3005295,88,6.28713
12.720529,88,6.489992
12.160529,88,6.6185193
11.710529,88,6.830519
11.860529,87,6.830519
13.960529,80,7.968939
16.340528,72,8.4042845
18.57053,66,7.2
20.47053,58,5.8048253
21.520529,53,7.208994
22.440529,49,5.771239
22.87053,48,5.4119864
22.910528,47,5.937272
22.270529,51,5.4833565
21.37053,56,6.162207
19.990528,63,6.830519
18.530529,68,7.145796
17.500528,72,7.2
16.440529,76,6.3690495
15.640529,76,6.8777895
15.420529,70,7.6367526
14.850529,69,8.913181
14.380529,67,8.669949
13.680529,71,7.491114
12.640529,72,3.396233
12.350529,69,4.1046314
12.750529,64,5.991594
12.790529,64,7.42159
12.660529,70,8.766573
14.260529,72,10.041354
17.07053,66,10.661107
19.670528,61,10.1376915
21.73053,54,9.36
22.420528,40,6.519877
23.56053,40,8.825508
24.21053,40,11.367109
24.39053,41,12.7279215
23.250528,46,12.43434
21.530529,44,11.525623
16.580528,53,11.753876
15.970529,48,8.707237
17.170528,34,6.297428
17.680529,32,6.1094027
17.71053,28,5.634891
16.62053,32,5.95906
15.690529,39,6.763786
15.400529,42,6.6185193
14.580529,46,6.379216
13.570529,52,6.9899354
12.980529,56,7.628263
12.910529,56,7.5685663
12.780529,55,7.42159
12.960529,54,6.9527545
14.240529,56,7.754637
17.20053,56,8.654986
19.840528,60,9.885262
22.830528,52,10.538843
24.80053,41,9.605998
25.940529,35,9.605998
26.280529,33,9.531505
25.95053,35,9.826088
24.270529,43,11.440978
21.330528,55,12.7279215
18.520529,48,11.753876
16.55053,37,11.720751
15.510529,50,10.44
15.710529,46,8.913181
16.13053,41,6.618519
16.47053,38,5.3999996
16.14053,39,4.39436
16.04053,36,3.396233
15.920529,36,2.6208394
15.8005295,39,3.671294
15.670529,42,4.452954
15.3005295,45,5.3999996
14.750529,48,6.297428
14.220529,51,6.830519
14.5505295,57,8.209263
16.80053,60,8.12197
19.23053,55,8.759178
21.190529,52,7.5685663
22.29053,40,5.0528407
23.010529,36,4.1046314
23.250528,34,2.9024127
23.090528,33,2.5959969
22.490528,35,2.5455842
21.680529,37,4.510787
20.190529,46,6.696387
18.280529,54,6.696387
17.39053,55,6.1305785
16.690529,53,5.6002855
16.020529,52,4.3498964
16.32053,45,3.671294
15.740529,38,5.8603754
15.000529,51,4.6938257
14.380529,63,0.71999997
14.010529,63,4.198285
13.920529,62,6.989936
13.610529,66,6.9153743
13.420529,70,6.1305785
13.840529,70,4.3498964
14.630529,69,1.8
15.850529,62,1.484318
17.39053,54,1.609969
18.920528,51,1.1384199
19.82053,46,1.8
20.580528,44,1.484318
20.97053,43,1.8
20.97053,43,3.319036
20.32053,46,4.3498964
19.740528,49,5.771239
18.48053,55,8.287822
16.12053,64,9.422101
14.470529,72,10.195057
12.990529,79,10.799999
12.240529,79,11.592894
11.910529,68,12.287555
11.570529,66,12.413477
11.390529,69,12.413477
10.520529,74,13.089354
10.220529,75,13.397612
10.220529,73,14.20062
10.750529,64,13.979872
10.750529,59,12.88981
11.160529,60,12.682018
13.590529,59,13.089354
17.14053,49,16.179987
19.47053,44,15.876775
21.030529,41,15.1884165
22.07053,39,10.08
22.430529,38,8.647496
22.410528,39,7.92
22.280529,40,7.342588
21.54053,46,6.9899354
20.690529,50,9.107359
19.940529,50,8.913181
19.410528,48,6.0347
18.850529,48,4.6102495
17.270529,57,4.379589
15.980529,60,3.8939953
15.8005295,51,5.8048253
13.820529,50,8.209263
12.060529,58,10.08
13.0505295,63,7.072878
14.240529,55,7.491114
14.710529,54,7.9932966
14.290529,57,7.4128532
14.3005295,59,8.891344
14.680529,60,8.707237
15.630529,62,6.6185193
17.770529,58,0.5091169
20.23053,50,9.360001
21.22053,46,13.708391
19.82053,55,22.59699
19.06053,57,24.014996
18.250528,62,16.954432
20.170528,58,12.287555
19.410528,63,7.5685663
18.500528,66,2.5959969
17.96053,68,4.32
17.14053,71,9.085988
16.110529,70,9.19939
15.280529,73,8.4042845
15.120529,77,6.28713
15.720529,75,3.7064266
15.760529,75,2.52
16.580528,72,4.8433046
16.87053,70,4.1046314
16.100529,73,8.669949
15.670529,76,8.669949
16.31053,73,6.8777895
15.730529,74,8.12197
14.940529,78,6.87779
17.22053,70,6.519877
19.64053,60,6.489992
22.06053,49,9.021574
23.31053,39,15.509274
22.32053,45,15.546833
22.360529,48,21.313093
21.14053,53,25.099514
20.430529,54,23.266697
19.490528,58,16.854767
17.770529,69,17.873554
15.440529,81,22.505037
14.640529,80,15.629972
14.410529,75,18.175545
13.620529,78,17.057314
13.120529,73,18.806337
12.590529,71,19.829433
11.770529,72,21.288757
10.840529,73,20.721119
10.350529,74,19.914217
9.530529,76,15.509274
9.010529,76,14.20062
8.740529,77,14.386494
9.110529,77,16.58346
10.040529,73,22.406927
10.360529,74,24.36325
10.610529,70,27.684914
11.150529,65,28.241076
11.710529,60,27.887802
11.260529,62,29.478264
11.400529,59,29.275326
11.790529,58,29.370352
11.360529,60,30.018473
10.650529,66,28.100763
9.610529,72,25.562534
9.070529,74,22.3229
8.890529,75,23.828083
8.640529,76,24.336637
8.390529,76,24.162945
8.040529,77,23.42491
7.9605284,77,19.09358
8.130529,74,15.111424
8.190529,75,18.792551
8.150529,78,18.59845
8.330529,79,18.532133
8.410529,80,19.559633
8.180529,83,21.599998
8.140529,84,21.24
8.420529,83,21.602999
9.620529,78,21.96295
9.900529,76,21.96
10.610529,71,21.26744
11.210529,70,22.033648
11.720529,68,23.411074
12.390529,66,23.039999
12.340529,66,21.96295
12.890529,65,20.523155
12.420529,68,19.134262
11.870529,71,18.079027
11.360529,73,19.296133
11.140529,74,17.208603
11.060529,76,16.516901
10.910529,77,15.042659
10.840529,79,11.792404
10.910529,80,8.654987
10.970529,80,7.2
10.980529,81,4.802999
10.970529,83,3.2399998
11.070529,83,3.0758414
11.0505295,83,4.0249224
10.940529,84,4.2136917
10.930529,85,4.0249224
11.460529,84,2.0991426
12.930529,81,2.52
14.760529,74,9.114471
15.850529,71,14.081478
16.110529,71,14.113653
16.340528,60,3.8268526
17.07053,60,6.12
17.39053,62,7.754637
17.32053,64,8.225035
16.660528,68,5.3517847
16.110529,71,2.5455842
15.590529,73,0.5091169
15.180529,74,3.096837
14.500529,77,4.6102495
13.940529,78,5.3517847
13.570529,81,5.6233797
13.320529,83,5.8603754
12.780529,85,7.0911775
12.130529,86,7.42159
11.580529,88,7.5685663
11.0505295,91,7.24486
10.280529,94,4.452954
10.370529,92,5.8048253
10.720529,89,4.2136917
11.240529,85,4.829907
12.680529,80,3.671294
14.680529,72,4.452954
16.82053,65,3.6
18.590528,59,2.5455842
19.38053,55,2.1897945
20.530529,54,2.8799999
21.15053,54,2.9024127
21.14053,56,2.2768397
20.530529,59,1.9386592
19.79053,61,2.2768397
18.97053,65,1.08
18.15053,68,4.3349743
17.490528,71,5.00128
16.39053,75,5.8048253
15.420529,79,5.634891
14.930529,82,5.1165614
14.5505295,86,5.3517847
14.200529,88,5.495161
13.610529,91,5.154415
12.880529,94,5.4833565
12.270529,94,6.0347
11.690529,93,6.151683
11.8005295,88,5.1919937
12.270529,82,5.1165614
13.290529,80,4.5536795
15.490529,74,4.452954
17.340528,69,2.2768397
19.32053,61,1.08
20.15053,51,3.2399998
21.79053,44,5.771239
22.350529,43,9.114471
21.920528,46,9.826088
20.660528,51,8.473393
19.62053,55,7.2
18.830528,58,5.904439
18.020529,62,6.193674
16.38053,69,6.9527545
13.830529,78,8.654986
13.3005295,76,8.350138
13.850529,69,8.4042845
14.130529,64,7.072878
14.450529,63,5.5887027
14.760529,64,6.297428
14.980529,74,11.525623
14.400529,79,13.75558
14.060529,79,14.759999
13.830529,79,14.145756
13.010529,82,17.193533
14.160529,75,15.683776
14.470529,75,15.315873
14.500529,75,18.806337
12.960529,70,13.722565
14.460529,68,17.651016
14.3005295,62,17.64
14.670529,57,16.199999
14.240529,56,16.215992
13.660529,55,10.464798
12.920529,63,7.9932976
12.480529,65,8.669949
12.240529,57,11.090103
10.960529,66,11.384199
9.060529,75,9.339208
8.090529,78,7.491114
8.260529,77,6.3690495
8.260529,76,4.8965297
8.340529,76,4.072935
8.370529,77,2.8116899
8.540529,77,1.8
8.330529,78,2.968636
8.390529,78,5.0142193
7.540529,79,7.2359104
7.3105288,76,10.538843
8.580529,72,11.5199995
9.700529,67,16.946787
10.690529,63,19.930477
11.280529,55,23.565567
12.640529,57,25.068514
12.8005295,54,25.49908
12.980529,51,24.288662
12.710529,52,22.805367
11.840529,55,18.94024
10.710529,61,17.64
9.870529,66,16.343367
9.320529,69,17.462782
9.740529,65,18.998314
10.160529,62,23.510508
10.280529,62,23.906818
10.290529,63,25.161398
10.170529,63,25.959969
10.410529,62,28.119204
10.440529,61,28.930204
10.400529,63,29.869154
10.330529,65,31.353085
10.360529,63,32.048088
10.250529,65,32.744175
10.370529,65,33.353954
11.340529,70,36.04677
11.720529,73,38.221085
11.5505295,73,37.45557
11.280529,74,35.66908
10.480529,76,32.399998
10.820529,75,31.338614
11.060529,76,28.496904
10.830529,80,22.104116
10.340529,84,20.268991
9.370529,88,17.462782
9.470529,86,14.039999
9.170529,88,10.703569
8.180529,82,7.9036193
7.4005284,79,7.2
6.8105288,79,6.618519
6.3205285,83,5.1919937
5.5505285,87,4.6938257
4.8205285,90,4.6102495
4.3305287,91,3.8268526
4.0505285,92,2.2768397
3.5505285,94,2.8799999
3.3305285,95,2.8799999
3.0605285,95,2.2768397
3.0405285,94,2.2768397
4.3405285,89,3.2399998
6.5105286,79,5.4119864
8.160529,67,7.208994
9.090529,60,8.287822
10.020529,58,11.885453
10.620529,54,13.493999
10.810529,54,12.24
10.600529,54,10.799999
9.850529,57,9.531505
7.790529,65,8.647496
6.2405286,73,4.73506
5.3105288,78,3.0758414
4.8605285,78,4.39436
4.3505287,78,5.3999996
3.6905286,77,6.792466
3.1105285,77,7.145796
2.6405284,79,6.489992
2.2905285,80,5.495161
1.9505286,81,4.510787
1.6905286,82,3.8939953
1.5005287,83,3.096837
1.4505286,83,2.5959969
1.5005287,82,2.6208394
1.9305286,81,1.835647
3.3505285,75,1.2979984
4.9405284,69,2.3051248
6.6505284,65,2.7416782
8.140529,60,5.6920996
9.960529,52,8.534353
10.870529,49,7.5685663
11.130529,50,5.95906
11.100529,50,5.154415
10.490529,54,4.0249224
9.870529,56,3.319036
9.150529,58,2.0991426
8.480529,60,2.5455842
7.9105287,62,3.4152596
7.1605287,65,3.9763298
6.4905286,69,4.39436
6.1405287,71,5.6233797
5.6205287,71,5.991594
5.0905285,69,6.4096174
4.5605288,69,6.489992
4.4405284,69,5.692099
4.4105287,68,4.39436
4.4405284,67,5.00128
4.6605287,64,5.00128
5.2105284,62,5.315336
6.5505285,64,4.0249224
8.590529,59,4.802999
10.830529,52,4.0249224
12.660529,48,2.16
14.350529,47,5.771239
15.760529,44,6.489992
16.600529,42,7.5685663
16.780529,43,7.208994
15.990529,46,8.64
13.600529,56,9.449572
12.000529,60,8.161764
11.580529,55,7.653705
11.080529,45,7.6367526
10.440529,38,7.145796
10.090529,36,6.193674
9.680529,41,5.8048253
9.320529,46,5.3999996
9.560529,46,5.495161
9.790529,47,6.763786
9.850529,51,6.439876
9.790529,55,5.3517847
9.840529,57,4.8433046
9.660529,59,5.3517847
10.170529,60,6.1305785
10.920529,63,2.5959969
14.530529,57,9.422101
16.45053,52,19.852295
17.680529,47,22.007162
17.610529,51,23.4
17.90053,51,23.759998
17.670528,50,24.482647
17.170528,52,21.599998
16.250528,55,16.199999
15.340529,58,11.5199995
14.990529,60,8.287822
14.950529,62,8.209263
14.690529,66,9.114471
14.230529,70,9.028754
13.930529,72,7.69592
14.0505295,73,6.379216
13.570529,74,4.2136917
13.330529,74,3.9763298
12.080529,77,5.5887027
10.880529,77,6.130579
10.240529,74,6.519877
10.410529,72,6.9899354
11.010529,71,5.8603754
11.390529,74,3.219938
12.280529,74,1.8
13.330529,77,1.9386592
14.000529,75,3.8939953
14.980529,71,5.6920996
15.220529,67,5.04
15.8005295,65,6.519877
15.950529,63,6.12
15.740529,63,5.1544156
15.0505295,65,5.3999996
14.250529,68,6.130579
12.810529,75,3.2399998
11.850529,80,1.8
11.560529,82,3.0758414
11.230529,84,3.319036
10.750529,84,5.815978
10.290529,83,7.7879906
9.970529,86,7.928177
10.560529,82,7.0911775
10.520529,81,8.209263
11.060529,75,9.227524
11.010529,75,9.021574
9.900529,78,10.464797
10.540529,78,10.97262
10.850529,77,10.948973
11.920529,76,8.891344
13.920529,70,5.8048253
16.190529,64,1.1384199
18.170528,55,13.004921
18.65053,53,13.202726
19.330528,50,17.31746
19.280529,51,15.256526
18.63053,53,12.224107
17.82053,57,10.390226
16.830528,60,7.072878
16.40053,61,3.2599385
15.580529,62,5.0911684
14.180529,70,5.1919937
14.0505295,72,3.096837
14.080529,70,5.904439
14.090529,68,5.0142193
13.070529,76,11.885453
12.720529,78,10.08
12.540529,77,15.111424
12.440529,74,16.904673
12.000529,78,15.827721
11.620529,83,14.693999
11.410529,88,18.374111
10.070529,93,35.320385
8.440529,93,20.65848
8.240529,93,13.104198
7.9105287,89,13.32
8.530529,83,13.75558
8.680529,81,21.485697
8.920529,72,21.758419
8.760529,71,17.581125
8.630529,70,15.463244
8.500529,72,13.661038
7.9305286,75,15.034041
7.4305286,78,15.463246
7.0005283,82,14.336861
6.9205284,82,13.276144
6.6705284,87,14.182355
6.1905284,81,17.555305
5.8705287,80,18.11841
5.4605284,82,17.917007
4.8505287,85,15.716793
4.5205283,84,17.25373
3.5305285,87,15.7908325
2.8705285,89,15.315873
2.5305285,90,14.578888
2.2005286,91,16.279802
2.3905284,91,18.214718
3.2505286,87,20.12461
4.3405285,82,21.077686
5.4205284,78,21.746504
6.3405285,76,22.7057
8.370529,65,20.617662
9.410529,62,22.55106
9.560529,62,22.206486
9.5505295,58,20.771093
8.730529,62,16.055353
7.0505285,72,12.224107
6.3405285,75,9.531505
5.7705283,77,8.209263
5.8605285,76,8.089993
5.7005286,76,8.4042845
4.9505286,80,8.28
3.8905284,86,8.4042845
2.7405286,91,7.5685663
2.0605285,94,7.653705
1.8005286,94,6.9527545
1.5505286,94,6.28713
1.4205287,94,7.24486
1.3605287,94,8.534353
1.5005287,94,9.387651
1.4805287,94,10.195057
1.6705287,93,9.726664
2.5805285,89,10.44
4.2105284,82,11.885453
6.1005287,75,14.081477
7.4605284,71,16.595179
7.9305286,70,15.978484
8.150529,71,14.917212
7.9905286,73,14.689589
7.6405287,77,13.37825
7.4005284,80,12.599998
7.1405287,83,11.720751
6.8205285,87,11.923557
6.7005286,86,11.874544
6.6805286,84,11.885453
6.5305285,84,11.177405
6.5505285,83,11.631956
6.3905287,80,11.91812
6.3605285,82,11.269782
6.3505287,86,13.32
6.3005285,87,13.905509
6.2605286,88,13.441071
6.0705285,87,13.207634
5.8405285,87,12.245293
5.7305284,88,13.37825
6.0605288,86,14.494192
6.1505284,83,17.643673
6.3605285,79,17.698677
7.3005285,76,15.546833
8.680529,65,11.901798
8.950529,64,13.039754
8.530529,67,13.75558
8.150529,68,12.979984
7.7005286,69,10.538843
7.290529,72,10.1376915
6.8205285,74,10.440001
6.3805285,79,10.440001
6.1405287,82,9.007196
6.0605288,84,7.928178
5.9905286,86,6.924738
6.0205283,86,6.5693827
5.9805284,87,6.2145634
5.9905286,87,5.8048253
6.0005283,87,4.6938252
6.0205283,87,3.4152596
6.0105286,89,3.8268526
5.9505286,90,4.1046314
5.9205284,91,5.0911684
5.9705286,92,7.5942082
6.2805285,90,9.605998
7.0705285,80,8.759178
7.7505283,75,8.905908
8.3005295,71,9.983106
7.8105288,71,4.1046314
8.410529,69,3.671294
8.740529,68,3.671294
8.730529,68,3.5455887
8.280529,70,2.5959969
8.040529,70,2.3051248
7.6005287,72,2.7416782
7.0605288,75,2.9024127
6.7605286,76,3.219938
6.6205287,76,3.5455887
6.7605286,75,3.096837
6.9705286,74,5.0142193
6.4305286,78,7.0911775
6.0505285,77,9.746631
5.5505285,81,9.826088
4.9105287,83,7.968939
4.5905285,85,6.763786
4.540529,85,6.6087217
4.5105286,83,7.10031
4.7205286,82,8.435069
5.4805284,75,12.10157
6.7805285,66,13.493999
7.8605285,63,14.869351
8.510529,61,13.910169
9.110529,60,12.324414
9.460529,64,15.517629
9.360529,68,20.780453
9.520529,69,22.91026
9.110529,72,19.914217
8.760529,72,17.551615
8.720529,70,18.204042
8.990529,72,20.345573
8.850529,78,23.469128
8.640529,82,24.50381
8.040529,87,21.96
7.9205284,86,21.24
7.7405286,88,18.079027
7.3405285,92,15.021105
6.9605284,84,10.30883
6.7605286,80,9.007196
6.7605286,84,11.212135
6.3705287,83,14.512064
6.0105286,82,15.39184
6.0605288,80,13.450708
6.6805286,76,14.799459
7.3605285,70,19.721298
7.790529,64,19.523155
7.9005284,68,20.883102
10.420529,67,34.08042
10.720529,69,35.10323
10.970529,70,34.981182
11.0505295,72,35.09954
10.840529,74,34.79917
10.900529,75,34.292717
11.140529,76,34.298386
11.200529,78,33.56312
11.340529,80,31.76375
11.450529,82,29.07989
11.430529,85,28.73242
11.630529,85,28.73242
11.740529,84,30.124065
11.590529,86,27.757376
11.360529,86,28.357857
11.000529,86,29.986076
10.660529,86,30.453527
10.120529,84,30.955812
9.820529,84,28.817993
9.780529,83,26.554728
9.980529,84,27.248457
10.380529,83,26.525429
11.320529,79,32.209442
11.440529,73,37.038036
13.060529,68,48.589333
12.320529,74,49.341015
10.540529,82,44.813854
8.590529,73,31.255795
7.2405286,74,29.387999
5.8805285,77,26.178707
5.4405284,76,27.169865
5.1505284,74,19.878391
4.8905287,76,21.9718
4.540529,75,26.178707
3.7105286,79,25.772078
3.3105285,83,24.482647
2.8305285,85,23.565567
3.0005286,83,22.55106
3.2105286,82,19.721298
3.5805285,82,18
3.8705285,82,22.702845
4.1405287,81,23.34455
3.9905286,80,21.578989
3.8105285,82,18.775303
4.3305287,81,20.288164
4.9105287,79,20.799152
5.3605285,78,23.795427
5.8005285,73,25.772078
6.3105288,78,22.768398
6.3305287,74,22.881956
6.6505284,70,22.782625
6.6205287,69,21.288757
5.9205284,73,14.869351
5.2405286,78,12.57426
4.6605287,81,11.874544
4.000529,85,12.074766
3.4205287,87,10.661107
2.9205287,89,9.346143
2.4005284,92,7.8625183
1.8805287,94,5.95906
1.4405286,96,3.8939953
1.1805286,97,0.35999998
1.1905286,95,2.3051248
0.9505287,95,2.7416782
1.0505286,95,3.6179552
1.0205287,95,4.68
0.93052864,93,3.96
0.8305287,90,4.32
1.3305286,86,4.802999
2.4305286,81,2.0991426
3.7605286,77,2.5959969
4.8605285,71,5.04
6.5605288,66,10.105681
7.0105286,68,10.182337
7.6105285,66,9.3669195
7.8605285,62,9
6.4005284,71,8.669949
4.6105285,83,6.9153743
3.5505285,82,8.049845
2.5605285,80,5.7599998
2.0705285,80,5.0528407
1.7205287,78,6.849467
1.5205287,76,7.208994
1.3805287,75,7.2359104
1.1005287,76,7.2359104
1.0705286,77,5.771239
0.84052867,79,1.8
0.7005287,80,1.9386592
0.60052866,81,3.219938
0.73052865,78,4.198285
0.74052864,77,3.6
0.6305287,77,3.6
1.4805287,75,1.08
2.6805286,71,1.1384199
4.1905284,69,4.32
6.0105286,66,4.5536795
6.9305286,63,8.225035
8.580529,59,7.2805495
9.780529,56,6.151683
10.040529,56,7.289445
8.480529,61,8.225035
5.6405287,77,5.8603754
4.1005287,86,5.771239
3.3805285,88,4.0249224
3.3405285,82,2.9024127
3.0705285,75,3.319036
2.4005284,74,4.3349743
1.8205286,77,4.198285
1.4905287,78,4.0249224
1.3605287,78,5.00128
1.1705287,78,4.8433046
0.92052865,78,5.3999996
0.60052866,79,3.396233
0.48052865,80,4.1046314
0.5105286,81,3.5455887
0.54052866,81,4.6800003
1.7605287,75,7.10031
3.0305285,70,8.225035
4.4805284,66,6.130579
5.8205285,62,4.452954
